,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,ind_gap,heat_of_formation
39,-5.098806,-1.976375,21.18183,9.659331,-0.79335356,-0.72661984,-0.83907455,-1.6321709,-2.366391,-0.04621668,0.0,-0.95100471
40,-5.125722,-2.0003614,21.4467,11.197435,-0.83642215,-0.7504095,-0.84843296,-1.7357664,-2.4077713,0.021294832,0.0,-0.98263062
41,-1.848547,-0.15660493,-1.4751999,7.453376,-0.11502842,-0.24268351,-0.16755998,-0.3542583,-0.2737968,-1.0006864,0.0,-0.915576027
42,-4.138031,-1.4181606,11.809178,6.011356,-0.4884064,-0.53517485,-0.5340259,-1.0556302,-1.7422675,-0.496411,0.0,-1.121526975
43,-2.462589,-0.4934433,-0.4920097,3.6943152,-0.12210722,-0.27670166,-0.18423736,-0.34888163,-0.66415447,-0.98064965,0.1748,-0.901987585
44,-2.4700258,-0.53532755,-0.36298886,6.382802,-0.20383695,-0.31978354,-0.1936502,-0.54251766,-0.73142904,-0.85749644,0.5536,-1.014436285
45,-4.0784326,-1.3942336,11.459442,6.3218703,-0.48896083,-0.5331253,-0.5216939,-1.0624151,-1.7167534,-0.48971874,0.0,-1.007841435
46,-4.0211434,-1.3922433,11.528555,7.6646214,-0.5257103,-0.54980516,-0.51655525,-1.1511904,-1.7208273,-0.42038828,0.0,-1.044343445
47,-2.4473302,-0.5082598,-0.44544777,5.315653,-0.16809416,-0.30013227,-0.18640304,-0.4594194,-0.69248474,-0.91028976,0.2896,-0.972103152
48,-3.3369057,-1.0404363,6.20689,4.4905596,-0.33217826,-0.42361432,-0.32251504,-0.76724654,-1.3021014,-0.63729423,1.8402,-1.235024085
49,-2.7013476,-0.6529326,0.2203236,2.9384997,-0.16384053,-0.3087046,-0.21434508,-0.42189398,-0.84009886,-0.8859748,0.1191,-1.002699795
50,-2.77631,-0.75130224,1.9365733,5.48403,-0.26782408,-0.3657754,-0.23884308,-0.65444034,-0.9656388,-0.7066044,0.1729,-1.107317995
51,-3.3618038,-1.0478064,6.178055,4.9387727,-0.34088776,-0.42963457,-0.32381266,-0.7919178,-1.318656,-0.64038986,0.793,-1.131587345
52,-3.324361,-1.0426657,6.074161,6.2330904,-0.37096447,-0.44388834,-0.3205025,-0.8677875,-1.3224826,-0.5970241,0.6186,-1.141480155
53,-2.7301776,-0.70517015,1.1667539,4.463376,-0.22466774,-0.34141627,-0.22648445,-0.55833215,-0.9068859,-0.77775115,0.0877,-1.065980862
54,-3.3029382,-1.0364357,6.261905,4.8109727,-0.34306887,-0.42755157,-0.32116506,-0.7910885,-1.2956678,-0.6072833,2.5609,-1.26694424
55,-2.6586616,-0.6469045,0.27695692,3.2498217,-0.1749931,-0.3123189,-0.21244529,-0.4457119,-0.8301229,-0.8517486,0.6552,-1.01561165
56,-2.7376938,-0.74632126,1.9946158,5.796721,-0.27883682,-0.36953425,-0.23712435,-0.67822593,-0.9574114,-0.674241,0.5501,-1.13025095
57,-3.3463993,-1.0434618,6.136685,5.1346292,-0.34529552,-0.43118072,-0.3232819,-0.8024298,-1.3139155,-0.6311715,1.334,-1.1302742
58,-3.2972791,-1.0380057,6.0829077,6.4878354,-0.37870052,-0.44655046,-0.31937516,-0.8849889,-1.3159932,-0.5761502,1.5368,-1.16567681
59,-2.6918197,-0.70021826,1.2241251,4.7755756,-0.23563807,-0.3451666,-0.22478227,-0.58204037,-0.8987256,-0.7455862,0.5557,-1.085567417
60,-3.529607,-1.3211662,13.312651,3.636457,-0.5025123,-0.50862616,-0.5070026,-1.0149415,-1.5116295,-0.12684682,1.045,-1.20622599
61,-2.183402,-0.40523663,-0.5613867,1.023564,-0.06127397,-0.23103182,-0.1443467,-0.18929718,-0.5116702,-0.94431734,0.7293,-0.9724668
62,-1.8697704,-0.35382733,-0.47222304,1.5070846,-0.10026415,-0.23500729,-0.123611644,-0.25777307,-0.41408214,-0.7381001,1.1156,-1.0942299
