,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,ind_gap,heat_of_formation
60,-0.7621204,-0.40922973,-0.029766325,-0.67794746,-0.009773475,0.78100896,0.6192349,-0.01130836,-0.37128353,-0.31889293,1.045,-1.20622599
61,-0.008858085,-0.2191135,-0.20301019,0.98255694,0.71531874,1.8313694,0.4202866,-0.15738487,1.3835816,1.0590359,0.7293,-0.9724668
62,-0.19753222,-0.26799187,-0.14895284,-0.04050925,0.5153686,1.4276677,0.4207628,-0.12247632,0.5327467,0.34122998,1.1156,-1.0942299
63,-0.60330254,-0.36299,-0.058092803,-0.51706487,0.147345,0.80590415,0.7139385,-0.057731975,-0.2445507,-0.22326016,0.0,-1.07654755
64,-0.60976905,-0.40021235,-0.10125723,-0.47540283,0.30693412,1.2230916,0.13391736,-0.016716052,-0.21940008,-0.2275918,0.1505,-1.11924146
65,-0.1055383,-0.23549433,-0.1584152,0.27367285,0.5591783,1.4552687,0.5444673,-0.14987443,0.8902199,0.67230004,0.8142,-1.049092367
66,-0.9141226,-0.38043982,0.96982384,-0.7927173,-0.42044997,1.0883042,0.6673055,0.5638032,-0.5402629,-0.15821795,0.0,-1.08946679
67,-0.03617351,-0.19638981,-0.14131777,1.0603527,-0.0009678215,2.172576,0.5613085,-0.11840629,1.246615,1.5363746,0.0,-0.8839256
68,-0.2429649,-0.25145355,-0.07983911,-0.03353521,-0.061333895,1.849627,0.478859,-0.06814928,0.3333938,0.83596116,0.105,-0.9937385
69,-0.70279574,-0.34837016,0.44703484,-0.5704648,-0.26056415,1.1914577,0.5931075,0.21226597,-0.34837827,-0.09453404,0.0,-0.98260225
70,-0.65735203,-0.37479472,0.054832127,-0.47399598,-0.1734723,1.6269898,0.11848798,0.2794572,-0.27402148,-0.09074872,0.0,-1.01929466
71,-0.15199056,-0.2215859,-0.095198855,0.32487893,-0.046277035,1.9122097,0.58169466,-0.09427748,0.7024246,1.1554806,0.0,-0.954844767
72,-0.6357189,-0.41000542,-0.11620436,-0.6172096,0.96473616,0.26268628,0.50195813,-0.09078928,-0.26926777,-0.39056355,0.0,-1.144364515
73,0.21505064,-0.23015633,-0.24952626,0.9247236,1.3933008,1.3268828,0.31517518,-0.20740822,1.5597943,0.6381859,0.195,-0.929802425
74,-0.14274882,-0.2818873,-0.20501581,-0.041375317,1.2394555,0.9873154,0.2787718,-0.17079972,0.7459824,-0.015260482,0.5582,-1.050742125
75,-0.48986983,-0.36632624,-0.13719533,-0.46460247,1.0799738,0.32655492,0.5687406,-0.12827091,-0.15286385,-0.29224715,0.0,-1.032518075
76,-0.49731198,-0.40405422,-0.180445,-0.4242176,1.2419281,0.7413652,-0.0028104447,-0.08706974,-0.12848225,-0.29780918,0.0,-1.075357485
77,-0.058473684,-0.25116667,-0.21170214,0.2390418,1.2537627,1.0282838,0.39395627,-0.19441783,1.073198,0.24863875,0.3028,-1.006316092
78,-0.5309383,-0.4322145,-0.20572631,-0.7518388,2.8006182,-0.33365467,0.55335003,-0.25626007,-0.2323166,-0.680177,1.8871,-1.275559625
79,0.3789984,-0.2673923,-0.41058064,0.9739849,2.8689184,1.1190393,0.4334717,-0.2881899,1.882672,-0.03921468,0.0308,-1.044230035
80,-0.1150526,-0.3271826,-0.3626072,-0.05977235,2.7936327,0.59874463,0.2997307,-0.25442952,1.0154734,-0.21094576,0.1087,-1.154327835
81,-0.41717264,-0.38564277,-0.2445658,-0.47148162,2.3465672,-0.06418747,0.593313,-0.21876621,-0.08957904,-0.4401817,0.8699,-1.172031285
82,-0.4391788,-0.43552613,-0.3213465,-0.41797677,2.67283,0.31185916,0.00012274459,-0.17320213,-0.058371138,-0.4598003,0.6885,-1.185390195
83,-0.034017444,-0.30112752,-0.3781271,0.20972276,2.8131611,0.7689853,0.35536027,-0.26990622,1.3676561,-0.14039193,0.0204,-1.111678002
84,-0.44921303,-0.42834836,-0.18639435,-0.8480628,3.4308348,-0.6165676,0.42963278,-0.3404766,-0.22616258,-0.8061531,2.5847,-1.30857088
85,0.4539861,-0.27970746,-0.43965694,0.85869986,3.2893658,0.8147601,0.3658904,-0.31511053,1.9301453,-0.10328541,0.7202,-1.05942269
86,-0.09474399,-0.33727732,-0.39355847,-0.06916862,3.1908002,0.3619763,0.23389354,-0.27935216,1.0971625,-0.26321563,0.59,-1.17843999
